,Most money spent on a movie,avg spent on all the movies in this genre,Middle value for all the movies in this genre,Least spent on the movie
Action,356000000.0,114283941.60583942,110000000.0,10000000.0
Adventure,270000000.0,126234741.84037559,140000000.0,0.0
Animation,150000000.0,94357142.85714285,103000000.0,26500000.0
Comedy,230000000.0,83204724.40944882,76500000.0,0.0
Crime,200000000.0,68455172.4137931,60000000.0,6000000.0
Documentary,60000000.0,42000000.0,60000000.0,6000000.0
Drama,200000000.0,65145392.04545455,50000000.0,0.0
Family,260000000.0,97025931.97376093,90000000.0,0.0
Fantasy,380000000.0,121155292.3076923,110000000.0,0.0
History,175000000.0,65154545.45454545,52000000.0,15000000.0
Horror,150000000.0,68511627.90697674,85000000.0,4500000.0
Music,260000000.0,63657142.85714286,41000000.0,0.0
Mystery,150000000.0,69913358.77862595,72000000.0,0.0
Romance,200000000.0,58947575.75757576,52500000.0,0.0
Science Fiction,300000000.0,128226657.45856354,130000000.0,11000000.0
Thriller,250000000.0,91581769.43699732,80000000.0,3000000.0
War,150000000.0,69084057.9710145,70000000.0,14000000.0
Western,255000000.0,113925925.92592593,100000000.0,22000000.0
