,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Microsoft
0,789,Project Gotham Racing (JP weekly sales),XB,2002.0,Action,Microsoft Game Studios,1.54,0.44,0.04,0.07,2.1,Microsoft
1,972,Kinect Star Wars,X360,2012.0,Action,Microsoft Game Studios,1.05,0.57,0.03,0.14,1.78,Microsoft
2,1210,Dead Rising 3,XOne,2013.0,Action,Microsoft Game Studios,1.06,0.35,0.01,0.12,1.54,Microsoft
21,2874,Conker: Live And Reloaded,XB,2005.0,Adventure,Microsoft Game Studios,0.49,0.2,0.0,0.02,0.71,Microsoft
22,3376,Kinect Rush: A Disney Pixar Adventure,X360,2012.0,Adventure,Microsoft Game Studios,0.38,0.16,0.0,0.05,0.6,Microsoft
23,5696,Shenmue II,XB,2002.0,Adventure,Microsoft Game Studios,0.22,0.08,0.0,0.01,0.32,Microsoft
24,987,Dead or Alive 3,XB,2001.0,Fighting,Microsoft Game Studios,1.19,0.29,0.24,0.06,1.77,Microsoft
25,6156,Kung Fu Chaos,XB,2003.0,Fighting,Microsoft Game Studios,0.21,0.06,0.0,0.01,0.28,Microsoft
26,6270,Tao Feng: Fist of the Lotus,XB,2003.0,Fighting,Microsoft Game Studios,0.21,0.06,0.0,0.01,0.27,Microsoft
29,16,Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,Microsoft
30,73,Minecraft,X360,2013.0,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,Microsoft
31,644,Minecraft,XOne,2014.0,Misc,Microsoft Game Studios,1.43,0.76,0.0,0.22,2.41,Microsoft
63,2656,Banjo-Kazooie: Nuts & Bolts,X360,2008.0,Platform,Microsoft Game Studios,0.32,0.36,0.0,0.09,0.78,Microsoft
64,3607,Blinx: The Time Sweeper,XB,2002.0,Platform,Microsoft Game Studios,0.39,0.15,0.0,0.02,0.56,Microsoft
65,8743,Blinx 2: Masters of Time & Space,XB,2004.0,Platform,Microsoft Game Studios,0.12,0.03,0.0,0.01,0.15,Microsoft
69,10672,Sneakers,XB,2002.0,Puzzle,Microsoft Game Studios,0.07,0.02,0.0,0.0,0.1,Microsoft
70,161,Forza Motorsport 3,X360,2009.0,Racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51,Microsoft
71,229,Forza Motorsport 4,X360,2011.0,Racing,Microsoft Game Studios,2.08,2.04,0.06,0.47,4.64,Microsoft
72,292,Forza Motorsport 2,X360,2007.0,Racing,Microsoft Game Studios,2.35,1.28,0.03,0.41,4.06,Microsoft
92,193,Fable III,X360,2010.0,Role-Playing,Microsoft Game Studios,3.59,1.11,0.05,0.38,5.13,Microsoft
93,260,Fable II,X360,2008.0,Role-Playing,Microsoft Game Studios,2.51,1.27,0.11,0.41,4.31,Microsoft
94,490,Mass Effect,X360,2007.0,Role-Playing,Microsoft Game Studios,1.83,0.8,0.03,0.27,2.93,Microsoft
108,44,Halo 3,X360,2007.0,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,Microsoft
109,63,Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,Microsoft
110,66,Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,Microsoft
136,195,Microsoft Flight Simulator,PC,1996.0,Simulation,Microsoft Game Studios,3.22,1.69,0.0,0.2,5.12,Microsoft
137,1123,Kinectimals,X360,2010.0,Simulation,Microsoft Game Studios,1.02,0.48,0.0,0.14,1.64,Microsoft
138,1126,Viva Pinata,X360,2006.0,Simulation,Microsoft Game Studios,0.45,0.96,0.02,0.2,1.63,Microsoft
154,140,Kinect Sports,X360,2010.0,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24,Microsoft
155,671,Kinect Sports: Season Two,X360,2011.0,Sports,Microsoft Game Studios,1.38,0.74,0.02,0.22,2.36,Microsoft
156,2085,NFL Fever 2002,XB,2000.0,Sports,Microsoft Game Studios,0.74,0.21,0.0,0.04,0.99,Microsoft
171,579,Halo Wars,X360,2009.0,Strategy,Microsoft Game Studios,1.53,0.82,0.04,0.24,2.63,Microsoft
172,4928,Age of Empires III,PC,2005.0,Strategy,Microsoft Game Studios,0.0,0.32,0.0,0.07,0.39,Microsoft
173,6468,Zoo Tycoon 2: Ultimate Collection,PC,2008.0,Strategy,Microsoft Game Studios,0.04,0.18,0.0,0.04,0.26,Microsoft
